,Gene ID,Gene name,Counts NP1,FPKM NP1,Counts NP2,FPKM NP2,Counts P1,FPKM P1,Counts P2,FPKM P2,Log2 FC,pvalue,padj,FPKM P1 CC,FPKM P2 CC,FPKM P1 GC,FPKM P2 GC
5866,AT3G23790,AAE16,278,1.82,335,2.12,75,0.75,67,0.83,-1.32,4.40E-07,1.34E-06,0.75,0.83,0.75,0.83
8175,AT5G16340,AAE6,73,0.62,52,0.42,1,0.01,1,0.02,-5.19,1.09E-05,2.89E-05,0.01,0.02,0.01,0.02
2260,AT1G75960,AAE8,25,0.22,25,0.21,277,3.76,207,3.47,4.05,1.54E-39,1.40E-38,3.76,3.47,3.76,3.47
6516,AT5G20960,AAO1,123,0.45,160,0.56,25,0.14,21,0.14,-1.84,7.58E-06,2.04E-05,0.14,0.14,0.14,0.14
5852,AT3G43600,AAO2,1042,3.64,1141,3.86,261,1.4,246,1.62,-1.32,4.96E-19,2.75E-18,1.4,1.62,1.4,1.62
2705,AT1G04580,AAO4,10,0.04,7,0.03,58,0.34,38,0.28,3.26,9.18E-08,2.95E-07,0.34,0.28,0.34,0.28
6317,AT1G58360,AAP1,4426,41.35,4445,40.19,944,13.51,718,12.67,-1.64,5.59E-78,8.27E-77,13.51,12.67,13.51,12.67
8682,AT5G09220,AAP2,32199,296.58,32599,290.62,122,1.72,122,2.12,-7.27,0,0,15.52723314,19.13821759,1.72,2.12
8058,AT1G77380,AAP3,10,0.09,9,0.08,0,0,0,0,-4.9,0.020455014,0.034318156,0,0,0,0
8536,AT5G63850,AAP4,5502,46.46,5576,45.57,41,0.53,34,0.54,-6.42,1.44E-262,5.29E-261,2.057473418,2.096293672,0.53,0.54
5822,AT1G44100,AAP5,2303,18.88,2365,18.77,655,8.22,456,7.06,-1.3,6.37E-32,4.98E-31,14.64509621,12.57839164,8.22,7.06
8444,AT5G49630,AAP6,4878,44.47,5396,47.61,62,0.87,28,0.48,-6.08,9.93E-72,1.39E-70,0.87,0.48,0.87,0.48
7800,AT5G23810,AAP7,29,0.24,31,0.25,1,0.01,1,0.02,-4.12,0.001602534,0.003258831,0.01,0.02,0.01,0.02
1022,AT1G10010,AAP8,0,0,0,0,8,0.13,8,0.17,6.24,0.001330075,0.002735909,0.13,0.17,0.13,0.17
8513,AT1G47670,AATL1,286,2.53,271,2.32,1,0.01,3,0.05,-6.33,2.86E-16,1.43E-15,0.01,0.05,0.01,0.05
3266,AT5G40010,AATP1,12,0.11,19,0.18,62,0.91,40,0.72,2.49,4.29E-06,1.19E-05,0.91,0.72,0.91,0.72
4673,AT3G47730,ABCA2,1334,6.78,1398,6.88,2062,16.06,1645,15.8,1.22,5.93E-42,5.63E-41,16.06,15.8,16.06,15.8
6075,AT3G47750,ABCA4,283,1.64,314,1.76,73,0.65,54,0.59,-1.45,4.90E-08,1.60E-07,0.65,0.59,0.65,0.59
2776,AT3G47780,ABCA7,141,0.76,149,0.78,802,6.64,689,7.04,3.15,2.64E-87,4.25E-86,6.64,7.04,6.64,7.04
4196,AT3G47790,ABCA8,16,0.09,14,0.08,30,0.26,21,0.22,1.54,0.02087398,0.03497206,0.26,0.22,0.26,0.22
2866,AT5G61730,ABCA9,4,0.02,2,0.01,15,0.13,13,0.14,3,0.005097768,0.009511834,0.13,0.14,0.13,0.14
3225,AT1G02520,ABCB11,19,0.07,25,0.09,89,0.53,61,0.45,2.54,1.19E-08,4.07E-08,0.53,0.45,0.53,0.45
1784,AT1G02530,ABCB12,4,0.02,2,0.01,53,0.34,64,0.51,5.09,1.98E-11,8.00E-11,0.34,0.51,0.34,0.51
8164,AT1G27940,ABCB13,55,0.24,67,0.28,2,0.01,0,0,-5.17,1.39E-05,3.63E-05,0.01,0,0.01,0
8817,AT1G28010,ABCB14,181,0.77,210,0.87,0,0,0,0,-9.26,4.17E-10,1.57E-09,0,0,0,0
7933,AT3G28345,ABCB15,437,1.84,516,2.1,12,0.08,12,0.1,-4.52,5.90E-35,4.93E-34,0.08,0.1,0.08,0.1
8696,AT4G25960,ABCB2,3590,15.27,3883,15.98,14,0.09,12,0.1,-7.38,2.03E-135,4.49E-134,0.09,0.1,0.09,0.1
6151,AT4G28630,ABCB23,643,4.73,745,5.31,147,1.66,134,1.86,-1.52,2.31E-16,1.16E-15,1.66,1.86,1.66,1.86
7273,AT3G59140,ABCC10,1546,5.63,1746,6.16,147,0.82,102,0.7,-2.95,1.78E-81,2.74E-80,0.82,0.7,0.82,0.7
7146,AT3G13080,ABCC3,4121,12.99,4257,12.99,428,2.07,314,1.87,-2.72,5.56E-161,1.39E-159,2.07,1.87,2.07,1.87
5028,AT2G47800,ABCC4,2472,8.66,2760,9.36,3600,19.33,2736,18.12,1.05,7.66E-39,6.89E-38,19.33,18.12,19.33,18.12
6612,AT1G04120,ABCC5,2378,7.51,2495,7.62,405,1.96,315,1.88,-1.98,1.07E-70,1.48E-69,1.96,1.88,1.96,1.88
1534,AT3G13090,ABCC6,21,0.08,23,0.08,636,3.68,481,3.43,5.44,6.08E-90,1.00E-88,3.68,3.43,3.68,3.43
4113,AT3G13100,ABCC7,286,1.02,305,1.05,583,3.19,464,3.13,1.61,6.77E-25,4.48E-24,3.19,3.13,3.19,3.13
7351,AT3G60160,ABCC9,733,2.35,777,2.41,63,0.31,39,0.24,-3.11,2.58E-44,2.56E-43,0.386340884,0.29910262,0.31,0.24
3402,AT5G60790,ABCF1,6352,44.5,6397,43.38,19631,210.66,17006,225.1,2.31,0,0,210.66,225.1,210.66,225.1
5488,AT5G09930,ABCF2,386,3.15,398,3.14,119,1.49,90,1.39,-1.13,3.74E-07,1.14E-06,1.49,1.39,1.49,1.39
1913,AT2G39350,ABCG1,138,0.92,118,0.76,2307,23.5,1818,22.85,4.79,2.28E-288,9.13E-287,23.5,22.85,23.5,22.85
8443,AT1G53270,ABCG10,21,0.2,22,0.21,0,0,0,0,-6.08,0.000586531,0.001266647,0,0,0,0
8723,AT1G17840,ABCG11,4006,22.16,4367,23.38,14,0.12,11,0.11,-7.6,2.32E-139,5.27E-138,0.12,0.11,0.12,0.11
8718,AT1G51500,ABCG12,7078,48.07,7275,47.82,20,0.21,25,0.32,-7.53,7.12E-239,2.46E-237,0.21,0.32,0.21,0.32
8639,AT1G31770,ABCG14,446,2.95,439,2.81,2,0.02,2,0.03,-7.01,1.96E-20,1.14E-19,0.02,0.03,0.02,0.03
3739,AT3G55090,ABCG16,23,0.15,33,0.21,64,0.64,60,0.74,1.94,1.98E-05,5.12E-05,0.64,0.74,0.64,0.74
8705,AT3G55110,ABCG18,61,0.43,49,0.33,0,0,0,0,-7.44,2.47E-06,7.01E-06,0,0,0,0
8840,AT3G55130,ABCG19,1418,9.62,1493,9.8,1,0.01,0,0,-10.72,3.10E-14,1.43E-13,0.01,0,0.01,0
8702,AT2G37360,ABCG2,44,0.31,66,0.45,0,0,0,0,-7.43,2.65E-06,7.47E-06,0,0,0,0
8493,AT3G53510,ABCG20,59,0.37,72,0.44,1,0.01,0,0,-6.25,3.96E-05,9.92E-05,0.01,0,0.01,0
7271,AT3G25620,ABCG21,248,1.47,264,1.51,26,0.24,13,0.15,-2.95,8.65E-16,4.26E-15,0.24,0.15,0.314767478,0.196729674
6595,AT1G71960,ABCG25,883,6.91,1039,7.87,147,1.76,141,2.08,-1.95,1.71E-29,1.27E-28,1.76,2.08,1.76,2.08
555,AT3G13220,ABCG26,0,0,0,0,17,0.2,17,0.24,7.33,1.55E-05,4.05E-05,0.2,0.24,0.2,0.24
7342,AT3G16340,ABCG29,731,2.6,873,3.01,64,0.35,45,0.3,-3.1,1.53E-45,1.54E-44,0.35,0.3,0.432227119,0.370480388
7460,AT2G29940,ABCG31,171,0.63,206,0.74,12,0.07,10,0.07,-3.31,1.56E-13,6.97E-13,0.07,0.07,0.07,0.07
7892,AT2G26910,ABCG32,4780,17.11,5058,17.52,146,0.8,124,0.84,-4.4,2.49E-290,1.01E-288,0.8,0.84,0.8,0.84
2986,AT2G36380,ABCG34,575,2.17,555,2.02,2690,15.52,2065,14.7,2.85,1.86E-186,5.20E-185,15.52,14.7,15.52,14.7
2694,AT1G15210,ABCG35,17,0.06,12,0.04,94,0.53,71,0.49,3.28,2.05E-12,8.65E-12,0.53,0.49,0.53,0.49
2002,AT1G59870,ABCG36,11197,40.29,12771,44.48,192467,1060.74,145474,988.94,4.6,0,0,1060.74,988.94,1060.74,988.94
2639,AT3G53480,ABCG37,9,0.03,5,0.02,49,0.28,35,0.25,3.36,3.92E-07,1.20E-06,0.28,0.25,0.28,0.25
110,AT1G15520,ABCG40,10,0.04,9,0.03,5346,31.3,4160,30.04,9.75,3.66E-181,9.96E-180,31.3,30.04,31.3,30.04
5811,AT2G13610,ABCG5,146,1.12,144,1.07,39,0.46,30,0.44,-1.29,0.000437794,0.000962102,0.46,0.44,0.46,0.44
7289,AT5G13580,ABCG6,158,1.12,211,1.44,17,0.18,10,0.13,-3,6.50E-12,2.69E-11,0.18,0.13,0.18,0.13
6477,AT1G67940,ABCI17,673,11.23,616,9.95,92,2.35,119,3.75,-1.81,2.30E-16,1.16E-15,2.35,3.75,3.824109197,6.10230191
4203,AT1G03905,ABCI19,55,0.55,38,0.37,83,1.28,73,1.39,1.53,0.000101723,0.000242827,1.28,1.39,1.28,1.39
5456,AT5G44110,ABCI21,551,7.05,581,7.2,173,3.39,132,3.19,-1.11,2.52E-09,9.03E-09,3.39,3.19,3.39,3.19
6130,AT4G34000,ABF3,10568,76.71,10907,76.63,2385,26.51,2025,27.77,-1.5,1.41E-108,2.68E-107,26.51,27.77,42.56362003,44.5866363
3928,AT4G26080,ABI1,7006,57.3,7215,57.12,14960,187.4,13161,203.36,1.77,5.62E-171,1.46E-169,187.4,203.36,187.4,203.36
2498,AT2G36270,ABI5,9,0.08,10,0.08,83,1.07,54,0.86,3.62,1.73E-11,7.01E-11,1.07,0.86,1.07,0.86
7636,AT2G46225,ABIL1,677,8.52,649,7.9,32,0.62,27,0.64,-3.71,1.09E-45,1.10E-44,0.62,0.64,0.62,0.64
20,AT5G64750,ABR1,7,0.08,18,0.19,38806,643.7,31110,636.53,12.23,0,0,643.7,636.53,643.7,636.53
3846,AT1G27770,ACA1,3166,15.11,3307,15.28,7498,54.82,5972,53.86,1.84,6.30E-172,1.65E-170,54.82,53.86,54.82,53.86
7777,AT3G52720,ACA1,6883,41.53,7597,44.37,289,2.67,220,2.51,-4.05,0,0,2.67,2.51,2.67,2.51
29,AT3G63380,ACA12,1,0,3,0.01,4620,32.38,3464,29.94,11.76,5.48E-59,6.61E-58,32.38,29.94,32.38,29.94
2307,AT3G22910,ACA13,115,0.64,120,0.64,1157,9.83,969,10.15,3.96,1.49E-151,3.59E-150,9.83,10.15,9.83,10.15
2562,AT4G37640,ACA2,1957,9.36,1899,8.79,14248,104.4,11346,102.55,3.51,0,0,104.4,102.55,104.4,102.55
8231,AT1G08080,ACA7,10,0.19,16,0.3,0,0,0,0,-5.35,0.006421784,0.011785742,0,0,0,0
647,AT3G21180,ACA9,0,0,0,0,19,0.13,11,0.09,7.11,4.21E-05,0.000105016,0.13,0.09,0.13,0.09
4342,AT4G24230,ACBP3,1116,10.94,1168,11.08,1962,29.45,1611,29.83,1.43,1.60E-53,1.80E-52,29.45,29.83,29.45,29.83
7771,AT5G27630,ACBP5,25,0.17,32,0.21,1,0.01,1,0.01,-4.04,0.0021842,0.004347881,0.01,0.01,0.01,0.01
6311,AT1G31812,ACBP6,7979,181.7,7120,156.94,1528,53.29,1295,55.71,-1.64,3.50E-79,5.25E-78,53.29,55.71,53.29,55.71
6046,AT1G36180,ACC2,585,1.32,596,1.3,135,0.47,119,0.51,-1.43,8.74E-14,3.94E-13,0.47,0.51,0.47,0.51
4590,ATCG00500,ACCD,94,1.14,79,0.92,128,2.37,114,2.6,1.27,2.75E-05,7.00E-05,2.37,2.6,2.37,2.6
3460,AT4G29670,ACHT2,2649,30.61,2721,30.44,8110,143.55,6526,142.49,2.23,3.31E-252,1.19E-250,143.55,142.49,143.55,142.49
112,AT2G33270,ACHT3,0,0,0,0,85,1.77,94,2.41,9.73,7.97E-11,3.12E-10,1.77,2.41,1.77,2.41
5319,AT1G08570,ACHT4,9696,100.35,9764,97.81,3027,47.98,2407,47.06,-1.06,5.86E-57,6.89E-56,47.98,47.06,47.98,47.06
2826,AT5G61440,ACHT5,4,0.04,3,0.03,25,0.39,10,0.19,3.06,0.002215137,0.004404511,0.39,0.19,0.39,0.19
7210,AT5G01370,ACI1,93,1.04,107,1.16,6,0.1,10,0.21,-2.84,6.87E-07,2.06E-06,0.1,0.21,0.1,0.21
8449,AT5G19530,ACL5,730,7.63,813,8.23,4,0.06,9,0.18,-6.1,3.49E-44,3.45E-43,0.06,0.18,0.06,0.18
5624,AT1G62380,ACO2,5865,71.66,6181,73.09,1723,32.24,1370,31.62,-1.18,1.77E-55,2.04E-54,32.24,31.62,32.24,31.62
4161,AT1G05010,ACO4,4058,47.08,4386,49.25,8143,144.7,6371,139.65,1.56,2.33E-123,4.86E-122,144.7,139.65,144.7,139.65
6527,AT3G05020,ACP1,348,8.56,406,9.67,62,2.34,58,2.7,-1.86,3.43E-13,1.51E-12,2.34,2.7,2.34,2.7
2985,AT5G65890,ACR1,566,4.62,581,4.6,2589,32.4,2215,34.19,2.85,1.48E-193,4.30E-192,32.4,34.19,32.4,34.19
7160,AT3G59420,ACR4,335,1.68,387,1.88,34,0.26,29,0.27,-2.73,2.50E-20,1.45E-19,0.26,0.27,0.26,0.27
7583,AT3G01990,ACR6,153,1.02,159,1.02,8,0.08,7,0.09,-3.59,3.43E-12,1.44E-11,0.100499189,0.113061588,0.08,0.09
1837,AT4G22780,ACR7,717,6.09,653,5.37,13216,171.98,11884,190.75,4.98,0,0,171.98,190.75,171.98,190.75
3067,AT1G12420,ACR8,613,5.05,607,4.84,2609,32.93,2134,33.22,2.74,3.02E-184,8.35E-183,48.16671848,48.59090155,41.09630227,41.45821929
4178,AT2G39570,ACR9,2634,25.4,2686,25.07,5013,74.02,4064,74.02,1.55,2.47E-107,4.66E-106,74.02,74.02,74.02,74.02
2642,AT4G08040,ACS11,3,0.03,8,0.08,35,0.52,30,0.55,3.35,8.48E-06,2.28E-05,0.52,0.55,0.52,0.55
346,AT1G01480,ACS2,10,0.09,9,0.07,1562,20.52,1334,21.62,8.04,1.63E-117,3.28E-116,20.52,21.62,20.52,21.62
2337,AT4G11280,ACS6,1591,15.09,1509,13.85,14475,210.2,12633,226.29,3.92,0,0,210.2,226.29,210.2,226.29
1465,AT4G26200,ACS7,0,0,0,0,6,0.1,4,0.08,5.53,0.01213309,0.02120302,0.1,0.08,0.1,0.08
144,AT4G37770,ACS8,7,0.07,10,0.1,3335,50.76,2806,52.68,9.28,1.70E-146,4.00E-145,50.76,52.68,50.76,52.68
583,AT3G49700,ACS9,0,0,0,0,13,0.25,19,0.44,7.26,2.26E-05,5.80E-05,0.25,0.44,0.25,0.44
7158,AT5G61160,ACT,51,0.52,66,0.66,3,0.05,7,0.14,-2.73,0.00021885,0.000500517,0.05,0.14,0.05,0.14
5242,AT5G09810,ACT7,9609,94.07,10043,95.17,3022,45.31,2582,47.76,-1.02,4.30E-52,4.72E-51,45.31,47.76,45.31,47.76
2367,AT4G16760,ACX1,4853,33.15,4914,32.49,45097,471.82,36875,475.87,3.85,0,0,471.82,475.87,471.82,475.87
4272,AT5G65110,ACX2,1459,9.65,1539,9.85,2669,27.04,2187,27.33,1.48,3.31E-69,4.51E-68,27.04,27.33,27.04,27.33
899,AT1G06310,ACX3.2,0,0,0,0,15,0.17,5,0.07,6.49,0.000603438,0.001300227,0.17,0.07,0.17,0.07
1742,AT4G34710,ADC2,2422,14.25,2517,14.33,56666,510.66,48399,538,5.2,0,0,973.8224993,1025.959552,510.66,538
13,AT1G01750,ADF11,1,0.02,0,0,1934,50.14,1506,48.16,12.53,3.42E-18,1.84E-17,50.14,48.16,50.14,48.16
5372,AT5G59890,ADF4,5024,60.47,4760,55.45,1446,26.65,1235,28.08,-1.08,1.32E-37,1.16E-36,26.65,28.08,26.65,28.08
4968,AT2G16700,ADF5,332,3.75,336,3.67,415,7.18,399,8.52,1.08,2.51E-10,9.58E-10,14.20464793,16.85565465,7.18,8.52
4187,AT2G31200,ADF6,1272,20.13,1259,19.28,2406,58.32,1891,56.54,1.54,3.91E-67,5.20E-66,58.32,56.54,58.32,56.54
1152,AT4G25590,ADF7,1,0.01,0,0,22,0.49,15,0.41,5.98,0.000329423,0.000736518,0.49,0.41,0.49,0.41
2072,AT4G00680,ADF8,0,0,1,0.01,4,0.08,8,0.19,4.43,0.028923038,0.046984483,0.08,0.19,0.08,0.19
6966,AT4G34970,ADF9,71,1.45,66,1.31,7,0.22,8,0.31,-2.4,0.000148636,0.000347268,0.22,0.31,0.22,0.31
4694,AT5G19220,ADG2,9410,96.38,10046,99.59,14561,228.42,11638,225.2,1.21,1.57E-95,2.71E-94,228.42,225.2,228.42,225.2
6611,AT1G77120,ADH1,255,2.84,250,2.69,44,0.75,31,0.65,-1.98,2.41E-10,9.21E-10,0.75,0.65,0.75,0.65
5644,AT5G50370,ADK2,283,3.96,308,4.17,79,1.69,71,1.88,-1.19,3.73E-06,1.04E-05,1.69,1.88,1.69,1.88
2154,AT2G18915,ADO2,885,6.7,925,6.78,10880,126.12,9202,131.57,4.26,0,0,126.12,131.57,126.12,131.57
1627,AT3G57510,ADPG1,0,0,0,0,1,0.02,7,0.15,5.33,0.024976369,0.0411767,0.02,0.15,0.02,0.15
5686,AT1G33560,ADR1,398,2.41,461,2.7,120,1.11,96,1.1,-1.21,2.78E-08,9.25E-08,1.11,1.1,1.11,1.1
8606,AT1G06080,ADS1,40,0.49,30,0.36,0,0,0,0,-6.79,4.01E-05,0.0001002,0,0,0,0
3731,AT1G11790,ADT1,390,3.75,407,3.79,974,14.34,810,14.71,1.95,3.44E-52,3.78E-51,14.34,14.71,14.34,14.71
3380,AT3G44720,ADT4,1863,17.37,1919,17.31,6342,90.55,4853,85.47,2.34,6.23E-228,2.06E-226,90.55,85.47,90.55,85.47
4822,AT5G22630,ADT5,806,6.54,899,7.06,1271,15.8,936,14.36,1.15,5.66E-24,3.66E-23,15.8,14.36,18.80229003,17.0886636
5868,AT5G10760,AED1,1151,10.38,1195,10.43,304,4.2,242,4.12,-1.32,1.05E-21,6.37E-21,4.2,4.12,4.2,4.12
1113,AT1G21530,AEE10,0,0,0,0,7,0.11,7,0.14,6.05,0.002578489,0.005067452,0.11,0.14,0.11,0.14
2506,AT1G77240,AEE4,2,0.02,0,0,6,0.09,8,0.15,3.61,0.030522378,0.049304904,0.09,0.15,0.09,0.15
7647,AT1G21540,AEE9,175,1.42,193,1.52,8,0.1,8,0.12,-3.74,2.62E-14,1.21E-13,0.1,0.12,0.1,0.12
6232,AT3G50845,AEL1,90,2.49,81,2.17,14,0.59,19,0.99,-1.57,0.002036145,0.004074161,0.59,0.99,0.7644519,1.282724375
2475,AT5G16970,AER,1832,22.55,1782,21.23,14478,272.99,12092,281.23,3.66,0,0,272.99,281.23,272.99,281.23
2280,AT1G72280,AERO1,86,0.84,100,0.95,965,14.49,783,14.5,4.02,6.90E-128,1.49E-126,14.49,14.5,14.49,14.5
6334,AT1G69260,AFP1,3183,35.36,3181,34.2,648,11.02,531,11.14,-1.65,4.95E-65,6.40E-64,11.02,11.14,11.02,11.14
4235,AT3G29575,AFP3,1142,14.62,1127,13.96,2058,40.34,1689,40.84,1.51,2.13E-59,2.58E-58,40.34,40.84,40.34,40.84
2542,AT3G02140,AFP4,194,1.9,145,1.37,1310,19.61,1007,18.59,3.55,4.10E-123,8.55E-122,19.61,18.59,19.61,18.59
5901,AT2G24540,AFR,6430,85,6786,86.82,1603,32.45,1415,35.34,-1.34,7.66E-67,1.01E-65,32.45,35.34,32.45,35.34
8567,AT4G18960,AG,62,0.53,102,0.84,0,0,1,0.02,-6.56,1.28E-05,3.36E-05,0,0.02,0,0.02
8010,AT5G08370,AGAL2,845,9.54,891,9.73,17,0.29,20,0.43,-4.76,3.57E-61,4.44E-60,0.29,0.43,0.29,0.43
4889,AT3G12690,AGC1-5,279,1.74,296,1.79,406,3.88,321,3.78,1.12,1.20E-10,4.68E-10,3.88,3.78,3.88,3.78
3024,AT5G61980,AGD1,19,0.09,20,0.09,86,0.63,71,0.64,2.79,2.77E-10,1.06E-09,0.63,0.64,0.63,0.64
4204,AT3G17660,AGD15,93,1.14,126,1.5,208,3.91,160,3.71,1.53,4.49E-09,1.58E-08,3.91,3.71,3.91,3.71
4216,AT1G60680,AGD2,14,0.18,20,0.25,35,0.7,22,0.54,1.52,0.017355168,0.029512413,0.7,0.54,0.7,0.54
6166,AT1G60860,AGD2,200,1.08,249,1.3,44,0.36,46,0.47,-1.52,1.56E-06,4.52E-06,0.36,0.47,0.36,0.47
3303,AT3G57550,AGK2,952,8,915,7.45,3291,42.38,2587,41.09,2.43,1.51E-169,3.89E-168,42.38,41.09,42.38,41.09
6177,AT4G24540,AGL24,746,11.46,711,10.57,160,3.76,133,3.86,-1.53,6.65E-18,3.54E-17,3.76,3.86,3.76,3.86
5224,AT5G65050,AGL31,1696,8.89,1700,8.63,527,4.23,446,4.42,-1.02,5.34E-19,2.96E-18,4.23,4.42,4.23,4.42
4120,AT5G62165,AGL42,47,0.52,36,0.39,76,1.29,70,1.46,1.6,7.32E-05,0.000177679,1.29,1.46,1.29,1.46
1443,AT1G59810,AGL50,0,0,0,0,5,0.14,5,0.18,5.56,0.011230435,0.019766985,0.14,0.18,0.14,0.18
35,AT4G02235,AGL51,0,0,0,0,408,18.76,296,16.79,11.68,1.11E-15,5.45E-15,18.76,16.79,18.76,16.79
6802,AT5G60440,AGL62,161,1.4,134,1.13,21,0.28,17,0.28,-2.18,2.39E-07,7.42E-07,0.28,0.28,0.28,0.28
851,AT1G29962,AGL64,0,0,0,0,17,0.83,5,0.3,6.62,0.000383417,0.000849621,0.83,0.3,0.83,0.3
3403,AT1G18750,AGL65,780,6.4,827,6.57,2606,32.77,2033,31.53,2.31,4.84E-138,1.09E-136,32.77,31.53,32.77,31.53
875,AT5G41200,AGL75,0,0,0,0,10,0.27,10,0.34,6.56,0.000400973,0.000885901,0.27,0.34,0.27,0.34
1500,AT5G38740,AGL77,0,0,2,0.03,35,0.7,18,0.44,5.49,1.21E-05,3.19E-05,0.7,0.44,0.7,0.44
6610,AT5G48670,AGL80,52,0.77,56,0.8,9,0.2,7,0.2,-1.97,0.002892617,0.005642654,0.2,0.2,0.2,0.2
1708,AT5G39750,AGL81,0,0,0,0,4,0.1,4,0.13,5.24,0.025443354,0.041845737,0.1,0.13,0.1,0.13
2089,AT5G27580,AGL89,0,0,1,0.02,6,0.2,6,0.25,4.38,0.030291103,0.048969802,0.2,0.25,0.2,0.25
5048,AT1G69540,AGL94,51,0.47,52,0.47,70,1,54,0.95,1.05,0.009136374,0.016356528,1,0.95,1,0.95
1005,AT5G06500,AGL96,0,0,0,0,11,0.39,6,0.26,6.29,0.001151483,0.002388458,0.39,0.26,0.39,0.26
1365,AT5G04640,AGL99,0,0,0,0,6,0.14,5,0.14,5.69,0.007878777,0.014264012,0.14,0.14,0.14,0.14
848,AT5G64310,AGP1,1702,31.92,1964,35.65,117524,3375.46,93606,3316.23,6.63,0,0,3375.46,3316.23,3375.46,3316.23
7347,AT5G56540,AGP14,22,0.78,22,0.75,2,0.11,1,0.07,-3.11,0.012629419,0.022017343,0.11,0.07,0.11,0.07
3125,AT5G11740,AGP15,6736,115.57,6271,104.14,25644,673.85,22409,726.33,2.67,0,0,673.85,726.33,673.85,726.33
3149,AT2G46330,AGP16,1071,17.26,944,14.72,3924,96.84,3368,102.52,2.64,3.26E-181,8.89E-180,96.84,102.52,96.84,102.52
6676,AT4G37450,AGP18,278,3.7,233,3,39,0.79,33,0.83,-2.05,1.32E-10,5.13E-10,0.79,0.83,0.79,0.83
7545,AT1G68725,AGP19,21,0.5,37,0.85,2,0.07,1,0.04,-3.5,0.003107967,0.00603129,0.07,0.04,0.07,0.04
577,AT2G22470,AGP2,214,4.54,264,5.42,23751,771,19332,774.07,7.28,0,0,771,774.07,771,774.07
3309,AT3G61640,AGP20,340,7,355,7.07,1229,38.74,950,36.94,2.43,1.22E-84,1.93E-83,38.74,36.94,38.74,36.94
